Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
21766_5#168,"Scaffold: Velvet + Improvement",6237801,23,271208.74,1444190,730014,3,558931,4,312416,6,275422,8,180826,10,314,23,4,2259302,2181210,78092,2111912,69298,341154602,329362710,329165610,151,151,37.1,472.6,81.7
21766_5#169,"Scaffold: Velvet + Improvement",6242355,27,231198.33,1112838,582643,4,558920,5,419227,7,395027,8,274248,10,308,27,505,2583602,2580106,3496,2583602,,390123902,389596006,387645479,151,151,37.0,478.2,79.0
21766_5#170,"Scaffold: Velvet + Improvement",6236774,24,259865.58,1164857,520551,5,417317,6,394937,8,312417,9,228588,12,308,24,118,2137000,2133906,3094,2137000,,322687000,322219806,320443149,151,151,37.0,488.1,80.4
21766_5#171,"Scaffold: Velvet + Improvement",6237763,36,173271.19,900396,330428,6,312417,8,272638,10,228627,12,144551,16,344,36,2,1929636,1863694,65942,1805718,57976,291375036,281417794,281249439,151,151,37.1,474.5,75.5
21766_5#172,"Scaffold: Velvet + Improvement",6234308,27,230900.30,1111729,417317,5,412011,6,353926,8,274239,10,161361,13,314,27,22,2069386,2065978,3408,2069386,,312477286,311962678,310219981,151,151,37.0,489.1,84.2
21766_5#173,"Scaffold: Velvet + Improvement",6235616,37,168530.16,900019,394424,6,329771,7,274246,9,212023,12,106411,16,314,37,467,1598848,1537912,60936,1483822,54090,241426048,232224712,232082629,151,151,36.9,488.5,82.4
21766_5#174,"Scaffold: Velvet + Improvement",6235873,23,271124.91,1168723,579660,4,558916,5,412011,7,394996,8,275408,10,308,23,20,1982452,1979203,3249,1982452,,299350252,298859653,297191430,151,151,37.0,483.5,92.0
21766_5#175,"Scaffold: Velvet + Improvement",6236879,24,259869.96,1164473,559997,4,545774,5,411765,7,408655,8,312417,10,308,24,0,2045500,2042278,3222,2045500,,308870500,308383978,306809194,151,151,37.1,479.6,81.4
21766_5#176,"Scaffold: Velvet + Improvement",6236128,32,194879.00,899877,349228,6,330932,7,274246,9,230493,12,157969,15,382,32,1,2220234,2217494,2740,2220234,,335255334,334841594,333366627,151,151,37.1,452.3,74.9
21766_5#177,"Scaffold: Velvet + Improvement",6240025,30,208000.83,845744,418784,5,394220,7,311248,8,268804,11,216157,13,349,30,1,2523268,2519303,3965,2523268,,381013468,380414753,378518673,151,151,37.2,469.0,86.3
21766_5#178,"Scaffold: Velvet + Improvement",6236157,25,249446.28,1676950,774214,3,580245,4,329647,6,323620,7,157925,10,308,25,1,1813200,1810337,2863,1813200,,273793200,273360887,271932207,151,151,37.0,486.1,82.4
21766_5#179,"Scaffold: Velvet + Improvement",6237606,32,194925.19,899932,412079,5,395195,7,312417,9,242048,11,212023,13,314,32,427,1801424,1736677,64747,1678814,57863,272015024,262238227,262079980,151,151,37.0,480.9,80.3
21766_5#180,"Scaffold: Velvet + Improvement",6235867,27,230958.04,1203023,505052,5,414124,6,412011,7,329862,9,239571,11,314,27,34,1924632,1921802,2830,1924632,,290619432,290192102,288549762,151,151,36.9,500.2,78.9
21766_5#181,"Scaffold: Velvet + Improvement",6238289,27,231047.74,1111475,651390,4,580270,5,558916,6,312417,8,228926,10,308,27,327,2024776,2022052,2724,2024776,,305741176,305329852,303950328,151,151,37.2,476.0,79.9
21766_5#182,"Scaffold: Velvet + Improvement",6240799,34,183552.91,1111475,411730,5,349195,6,312417,8,241793,11,136644,14,344,34,21,1907518,1833976,73542,1768076,65900,288035218,276930376,276750856,151,151,36.8,482.7,76.4
21766_5#183,"Scaffold: Velvet + Improvement",6237818,30,207927.27,1112252,488891,5,418340,6,394996,8,312209,10,161361,12,314,30,448,1930112,1927505,2607,1930112,,291446912,291053255,289569903,151,151,37.1,473.7,83.4
21766_5#184,"Scaffold: Velvet + Improvement",6236511,28,222732.54,900130,412012,5,330428,7,299281,9,272727,11,162455,14,335,28,75,2163034,2102471,60563,2049590,52881,326618134,317473121,317297434,151,151,37.3,457.5,75.8
21766_5#185,"Scaffold: Velvet + Improvement",6240308,36,173341.89,1525966,768837,3,326626,5,275427,7,243471,9,157948,12,300,36,432,1844034,1778685,65349,1721024,57661,278449134,268581435,268421940,151,151,37.0,484.6,82.4
21766_5#186,"Scaffold: Velvet + Improvement",6236796,27,230992.44,1671380,413210,4,330428,6,275417,8,241953,10,157972,13,365,27,0,2185200,2182311,2889,2185200,,329965200,329528961,328063525,151,151,37.2,460.1,80.9
21766_5#187,"Scaffold: Velvet + Improvement",6236975,24,259873.96,1227404,808823,3,768845,4,558917,5,330429,7,275407,9,308,24,2,2153548,2150531,3017,2153548,,325185748,324730181,323175585,151,151,37.1,476.2,78.6
21766_5#188,"Scaffold: Velvet + Improvement",6239047,30,207968.23,1164805,558917,5,418398,6,412610,7,312420,9,241999,11,308,30,71,2283660,2204777,78883,2135406,69371,344832660,332921327,332724877,151,151,37.1,473.4,78.3
21766_5#189,"Scaffold: Velvet + Improvement",6237979,30,207932.63,900449,491108,5,412011,6,329772,8,298082,10,240622,12,314,30,23,2160440,2091396,69044,2030616,60780,326226440,315800796,315618485,151,151,37.2,470.2,75.0
21766_5#190,"Scaffold: Velvet + Improvement",6236260,28,222723.57,910112,505060,5,411472,6,355654,7,312417,9,241994,12,335,28,145,2013790,2010671,3119,2013790,,304082290,303611321,301993855,151,151,37.0,483.2,85.3
21766_5#191,"Scaffold: Velvet + Improvement",6238151,27,231042.63,1672725,417317,4,414124,5,379788,7,275406,9,159875,12,314,27,322,1938584,1936466,2118,1938584,,292726184,292406366,290977313,151,151,37.1,473.4,84.8
21766_5#192,"Scaffold: Velvet + Improvement",6237790,29,215096.21,1182273,419507,5,411969,6,330122,8,276546,10,228666,12,308,29,596,1880614,1878277,2337,1880614,,283972714,283619827,282082189,151,151,37.0,487.0,82.9
21766_5#193,"Scaffold: Velvet + Improvement",6238487,29,215120.24,1111941,418060,5,412079,6,312417,8,241830,11,141644,14,365,29,151,1826940,1760394,66546,1700796,59598,275867940,265819494,265655293,151,151,37.0,480.0,77.1
21766_5#194,"Scaffold: Velvet + Improvement",6235873,28,222709.75,1165891,489373,5,412011,6,394997,7,311178,9,229749,12,308,28,366,1657970,1600747,57223,1549616,51131,250353470,241712797,241568373,151,151,37.0,476.4,75.6
21766_5#195,"Scaffold: Velvet + Improvement",6237458,20,311872.90,1599691,768836,3,558996,4,417243,5,395365,7,239855,9,314,20,537,1837458,1835260,2198,1837458,,277456158,277124260,275669445,151,151,37.0,483.2,84.2
21766_5#196,"Scaffold: Velvet + Improvement",6237716,27,231026.52,1165645,559996,4,470045,5,411730,7,312417,9,240602,11,314,27,2,1938830,1936551,2279,1938830,,292763330,292419201,290969569,151,151,37.1,472.8,87.5
21766_5#197,"Scaffold: Velvet + Improvement",6237724,29,215093.93,1515842,558917,4,409192,5,392041,7,275407,9,228837,11,308,29,135,1952842,1950494,2348,1952842,,294879142,294524594,293021681,151,151,37.0,486.0,81.4
21766_5#198,"Scaffold: Velvet + Improvement",6235710,28,222703.93,901183,391488,6,330548,8,275416,10,270837,12,161361,15,303,28,332,1847082,1845021,2061,1847082,,278909382,278598171,277248332,151,151,37.1,472.0,83.1
21766_5#199,"Scaffold: Velvet + Improvement",6237803,29,215096.66,1459574,566739,3,418216,5,312443,6,242327,9,160970,12,308,29,2317,1477656,1475688,1968,1477656,,223126056,222828888,221584411,151,151,36.9,499.2,83.0
21766_5#200,"Scaffold: Velvet + Improvement",6237995,34,183470.44,768803,412079,6,397777,7,312469,9,272678,11,161361,14,314,34,424,1677136,1675003,2133,1677136,,253247536,252925453,251466224,151,151,36.9,494.0,82.1
21766_5#201,"Scaffold: Velvet + Improvement",6240237,33,189098.09,768812,409164,6,340375,8,300794,10,269712,12,211193,14,308,33,1949,1516024,1514199,1825,1516024,,228919624,228644049,227411619,151,151,36.9,482.7,84.0
21766_5#202,"Scaffold: Velvet + Improvement",6236728,35,178192.23,811572,412238,5,311178,7,277922,9,241999,12,159093,15,314,35,1121,1609352,1607267,2085,1609352,,243012152,242697317,241338909,151,151,37.0,476.7,85.7
21766_5#203,"Scaffold: Velvet + Improvement",6237749,32,194929.66,810762,546944,5,516297,6,408919,8,394997,9,211788,11,308,32,300,1972968,1898293,74675,1830734,67559,297918168,286642243,286465381,151,151,36.9,488.9,81.4
21766_5#204,"Scaffold: Velvet + Improvement",6237832,30,207927.73,1529091,651390,4,651390,4,638865,5,394615,7,163385,9,308,30,468,1936614,1934464,2150,1936614,,292428714,292104064,290503303,151,151,36.9,482.7,84.5
21766_5#205,"Scaffold: Velvet + Improvement",6238581,30,207952.70,1169603,580247,4,496011,6,408277,7,394886,8,275419,10,308,30,156,2207522,2139576,67946,2078710,60866,333335822,323075976,322890843,151,151,37.2,461.1,82.0
21766_5#206,"Scaffold: Velvet + Improvement",6237910,26,239919.62,2048324,671419,3,656851,4,416833,5,311250,7,210369,9,308,26,77,2004914,1939511,65403,1880922,58589,302742014,292866161,292694761,151,151,37.2,471.0,83.6
21766_5#207,"Scaffold: Velvet + Improvement",6237674,25,249506.96,1529470,558916,4,469380,5,394213,7,312500,8,230526,11,314,25,327,1967142,1964523,2619,1967142,,297038442,296642973,294951921,151,151,36.9,498.1,82.2
21766_5#208,"Scaffold: Velvet + Improvement",6239726,26,239989.46,1724851,727529,3,571920,4,412004,6,307379,8,270448,10,308,26,504,1751620,1685923,65697,1626534,59389,264494620,254574373,254416462,151,151,36.9,492.9,81.1
21766_5#209,"Scaffold: Velvet + Improvement",6238833,24,259951.38,1459206,768863,3,725333,4,311177,6,288663,8,169325,10,308,24,2,1847470,1780340,67130,1719846,60494,278967970,268831340,268667866,151,151,37.0,484.9,81.8
21766_5#210,"Scaffold: Velvet + Improvement",6236059,25,249442.36,1529761,510213,4,394397,6,281992,8,258691,10,157970,13,392,25,422,1705602,1703592,2010,1705602,,257545902,257242392,255761801,151,151,36.9,497.7,83.4
21766_5#211,"Scaffold: Velvet + Improvement",6238580,28,222806.43,1671273,808766,3,768833,4,417317,5,379425,7,280852,9,308,28,2,2088062,2085823,2239,2088062,,315297362,314959273,313491336,151,151,37.2,470.7,85.4
21766_5#212,"Scaffold: Velvet + Improvement",6237541,25,249501.64,1111476,580253,4,411730,6,410963,7,312417,9,242322,11,308,25,173,1977402,1907196,70206,1844474,62722,298587702,287986596,287811014,151,151,37.0,488.3,78.5
21766_5#213,"Scaffold: Velvet + Improvement",6238009,27,231037.37,1632648,558917,4,414123,5,395008,6,349027,8,276547,10,308,27,80,1892058,1889953,2105,1892058,,285700758,285382903,283897480,151,151,37.0,470.4,82.8
21766_5#214,"Scaffold: Velvet + Improvement",6236427,25,249457.08,1231481,558915,4,394232,6,312445,7,264607,10,161056,13,335,25,51,2013922,2011837,2085,2013922,,304102222,303787387,302339176,151,151,37.2,468.5,78.8
21766_5#215,"Scaffold: Velvet + Improvement",6236529,28,222733.18,900306,543085,5,520024,6,410965,8,312417,10,157957,12,314,28,346,1667088,1665143,1945,1667088,,251730288,251436593,250153412,151,151,37.1,480.6,82.1
21766_5#216,"Scaffold: Velvet + Improvement",6193188,29,213558.21,1263667,656847,4,412011,5,311424,7,276544,9,124985,13,314,29,1620,1535620,1533629,1991,1535620,,231878620,231577979,230403380,151,151,37.0,479.9,75.9
21766_5#217,"Scaffold: Velvet + Improvement",6193945,32,193560.78,1112370,569962,4,400999,6,307425,8,268052,10,168578,12,308,32,2459,1539196,1537299,1897,1539196,,232418596,232132149,230885157,151,151,37.1,474.8,84.8
21766_5#218,"Scaffold: Velvet + Improvement",6237147,29,215074.03,1164886,418059,5,394416,7,387564,8,246400,11,225539,13,365,29,1,1721762,1669976,51786,1623896,46080,259986062,252166376,252021244,151,151,37.2,463.4,78.5
21766_5#219,"Scaffold: Velvet + Improvement",6237676,31,201215.35,1460007,571921,4,411557,5,330599,7,275426,9,212023,12,304,31,825,1722212,1666243,55969,1616308,49935,260054012,251602693,251455277,151,151,37.2,466.4,78.7
21766_5#220,"Scaffold: Velvet + Improvement",6234923,33,188937.06,1111857,413149,5,349726,7,274246,9,239740,11,158891,14,382,33,164,1590060,1588486,1574,1590060,,240099060,239861386,238875458,151,151,37.3,463.3,76.3
21766_5#221,"Scaffold: Velvet + Improvement",6238115,25,249524.60,1827584,656832,3,580191,4,395051,6,323929,8,228666,10,308,25,592,1673928,1672568,1360,1673928,,252763128,252557768,251492716,151,151,37.3,455.4,79.1
21766_5#222,"Scaffold: Velvet + Improvement",6235814,36,173217.06,900032,408813,5,382175,7,312492,9,240265,11,215210,13,314,36,1232,1503602,1449799,53803,1401672,48127,227043902,218919649,218790278,151,151,37.0,479.8,83.8
21766_5#223,"Scaffold: Velvet + Improvement",6193387,26,238207.19,1672328,516334,4,421806,5,412139,6,307382,8,161161,11,314,26,454,1778308,1718184,60124,1664018,54166,268524508,259445784,259291465,151,151,37.1,481.3,79.4
21766_5#224,"Scaffold: Velvet + Improvement",6194095,28,221217.68,1174312,559059,4,528459,5,312419,7,276545,9,168867,12,314,28,1018,1580304,1528274,52030,1481928,46346,238625904,230769374,230634613,151,151,37.1,473.2,83.2
21766_5#225,"Scaffold: Velvet + Improvement",6195309,28,221261.04,1495142,496089,4,481812,5,417592,6,311180,8,269367,10,308,28,300,1626826,1624871,1955,1626826,,245650726,245355521,244068186,151,151,37.0,484.1,81.5
21766_5#226,"Scaffold: Velvet + Improvement",6235177,28,222684.89,1414252,514877,4,399688,6,330687,7,273043,9,157929,13,365,28,1862,1561108,1559384,1724,1561108,,235727308,235466984,234266257,151,151,37.1,480.7,85.9
21766_5#227,"Scaffold: Velvet + Improvement",6238684,28,222810.14,1426800,808821,3,558623,4,411730,5,311178,7,263877,9,314,28,242,1704898,1648823,56075,1598450,50373,257439598,248972273,248824956,151,151,37.1,480.3,78.9
21766_5#228,"Scaffold: Velvet + Improvement",6235119,28,222682.82,1383201,514879,4,394214,6,312447,7,250175,10,211193,12,345,28,473,1553978,1552325,1653,1553978,,234650678,234401075,233341190,151,151,37.2,467.3,85.8
21766_5#229,"Scaffold: Velvet + Improvement",6237207,24,259883.62,1265159,656833,4,534452,5,408933,6,311319,8,267523,10,308,24,1118,1637894,1636359,1535,1637894,,247321994,247090209,245952328,151,151,37.2,473.3,82.3
21766_5#230,"Scaffold: Velvet + Improvement",6193209,34,182153.21,1111954,664417,4,329039,6,274237,8,241797,10,135946,14,314,34,769,1514772,1512934,1838,1514772,,228730572,228453034,227287561,151,151,37.1,485.7,81.8
21766_5#231,"Scaffold: Velvet + Improvement",6238034,28,222786.93,1111258,516325,5,465945,6,418397,7,394996,9,229806,11,308,28,110,1954582,1952444,2138,1954582,,295141882,294819044,293424551,151,151,37.1,480.5,81.3
21766_5#232,"Scaffold: Velvet + Improvement",6236898,32,194903.06,1671071,417317,4,412011,5,312624,7,272759,9,157973,12,314,32,660,1691062,1689185,1877,1691062,,255350362,255066935,253799901,151,151,37.1,481.6,78.3
21766_5#233,"Scaffold: Velvet + Improvement",6238369,30,207945.63,900748,414348,5,330428,7,275407,9,241784,11,161361,14,314,30,149,1813008,1811331,1677,1813008,,273764208,273510981,272232987,151,151,37.2,477.0,81.8
21766_5#234,"Scaffold: Velvet + Improvement",6234679,28,222667.11,900280,466821,5,394997,6,312417,8,241999,11,211193,13,365,28,2,1739924,1686033,53891,1638022,48011,262728524,254590983,254444271,151,151,37.2,471.2,76.1
21766_5#235,"Scaffold: Velvet + Improvement",6237252,29,215077.66,1002055,513924,5,417317,6,395072,8,272742,10,157966,12,303,29,678,1750052,1748296,1756,1750052,,264257852,263992696,262786308,151,151,37.2,473.8,77.5
21766_5#236,"Scaffold: Velvet + Improvement",6237945,34,183468.97,1495739,768841,3,378416,5,372596,6,272218,9,161138,11,308,34,453,1697630,1696017,1613,1697630,,256342130,256098567,254919849,151,151,37.2,468.6,80.9
21766_5#237,"Scaffold: Velvet + Improvement",6237800,31,201219.35,1037581,417317,5,412054,7,394757,8,241999,11,162441,14,314,31,562,1673998,1672510,1488,1673998,,252773698,252549010,251476769,151,151,37.3,455.0,74.4
21766_5#238,"Scaffold: Velvet + Improvement",6238278,29,215113.03,1231789,559231,4,412011,6,410903,7,311178,9,212392,11,308,29,449,1535546,1533629,1917,1535546,,231867446,231577979,230486129,151,151,37.1,483.3,71.5
21766_5#239,"Scaffold: Velvet + Improvement",6236426,29,215049.17,1696479,514906,4,504072,5,394567,7,272832,9,228636,11,305,29,466,1900724,1898012,2712,1900724,,287009324,286599812,285028814,151,151,37.0,486.2,80.6
21766_5#240,"Scaffold: Velvet + Improvement",6239153,30,207971.77,1170271,558916,4,411828,6,408640,7,312348,9,240136,11,308,30,498,1701832,1634613,67219,1573556,61057,256976632,246826563,246670750,151,151,36.8,495.2,76.3
21766_5#241,"Scaffold: Velvet + Improvement",6237614,31,201213.35,900040,558880,5,412126,6,408465,7,276559,9,216774,12,314,31,185,1762394,1760250,2144,1762394,,266121494,265797750,264433836,151,151,37.0,489.0,82.5
21766_5#242,"Scaffold: Velvet + Improvement",6237191,33,189005.79,1671418,411117,4,349645,6,330429,7,241875,10,157952,13,335,33,336,1607940,1605815,2125,1607940,,242798940,242478065,241142300,151,151,36.9,488.0,82.9
21766_5#243,"Scaffold: Velvet + Improvement",6234830,30,207827.67,901129,557684,5,412750,6,312417,8,241784,11,210675,13,323,30,484,1712388,1656388,56000,1606398,49990,258570588,250114588,249967625,151,151,37.1,474.7,78.1
21766_5#244,"Scaffold: Velvet + Improvement",6236327,29,215045.76,1111957,582659,4,412360,6,400625,7,262395,10,228613,12,314,29,40,1661746,1617166,44580,1577752,39414,250923646,244192066,244059242,151,151,37.4,451.1,70.8
21766_5#245,"Scaffold: Velvet + Improvement",6236593,37,168556.57,901337,488831,5,394214,6,312417,8,240265,10,157949,13,365,37,131,1798588,1796829,1759,1798588,,271586788,271321179,270269020,151,151,37.4,452.7,72.9
21766_5#246,"Scaffold: Velvet + Improvement",6241078,31,201325.10,1222818,419388,5,414078,6,395994,8,228584,10,159475,13,308,31,665,1629632,1585086,44546,1545858,39228,246074432,239347986,239213934,151,151,37.3,451.9,69.0
21766_5#247,"Scaffold: Velvet + Improvement",6238757,30,207958.57,1181292,419219,5,418397,6,394996,8,311178,9,228614,12,308,30,1,2150544,2148303,2241,2150544,,324732144,324393753,322864814,151,151,37.1,478.9,79.4
21766_5#248,"Scaffold: Velvet + Improvement",6238957,27,231072.48,1317592,651405,4,570724,5,559994,6,395551,7,312559,9,308,27,309,2020890,2018635,2255,2020890,,305154390,304813885,303260236,151,151,37.1,481.7,79.9
21766_5#249,"Scaffold: Velvet + Improvement",6238182,27,231043.78,1442973,572450,4,558880,5,503358,6,307367,8,242327,10,308,27,590,1654218,1652305,1913,1654218,,249786918,249498055,248246605,151,151,37.1,480.1,79.9
21766_5#250,"Scaffold: Velvet + Improvement",6238679,26,239949.19,1877473,768844,3,768844,3,412011,5,395270,6,228666,8,308,26,338,1876058,1825217,50841,1780190,45027,283284758,275607767,275456982,151,151,37.4,444.9,79.1
21766_5#251,"Scaffold: Velvet + Improvement",6238123,25,249524.92,1423200,768832,3,457839,4,312417,6,275422,8,169782,11,314,25,655,1854122,1852187,1935,1854122,,279972422,279680237,278369413,151,151,37.2,468.7,73.9
21766_5#252,"Scaffold: Velvet + Improvement",6237458,27,231016.96,1115143,516325,5,418559,6,400625,8,272727,10,157945,12,314,27,1290,1712410,1710394,2016,1712410,,258573910,258269494,256969476,151,151,37.0,469.7,75.9
21766_5#253,"Scaffold: Velvet + Improvement",6239948,30,207998.27,1035345,515464,4,310948,6,277701,8,213209,11,143057,15,314,30,560,1750928,1748881,2047,1750928,,264390128,264081031,262731890,151,151,37.1,476.0,80.3
21766_5#254,"Scaffold: Velvet + Improvement",6236300,31,201170.97,1004078,600108,4,313049,6,275117,8,211675,10,157960,14,314,31,1710,1417762,1374011,43751,1335472,38539,214082062,207475661,207356118,151,151,37.2,461.5,75.1
21766_5#255,"Scaffold: Velvet + Improvement",6237382,29,215082.14,899846,412011,5,408634,6,330428,8,275421,10,211193,12,308,29,0,1940986,1938696,2290,1940986,,293088886,292743096,291265051,151,151,37.1,478.6,83.7
21766_5#256,"Scaffold: Velvet + Improvement",6196637,28,221308.46,1443980,558916,4,412011,5,275405,7,262381,9,157970,12,314,28,47,1968180,1901705,66475,1842042,59663,297195180,287157455,286986549,151,151,37.1,477.2,79.4
21766_5#257,"Scaffold: Velvet + Improvement",6235756,38,164098.84,768832,580189,5,558623,6,311178,8,275406,10,157945,13,308,38,61,1739220,1679427,59793,1626348,53079,262622220,253593477,253441662,151,151,37.1,473.5,80.8
21766_5#258,"Scaffold: Velvet + Improvement",6237964,27,231035.70,1460573,580297,4,412045,5,312417,7,276545,9,228552,11,302,27,300,1951656,1949517,2139,1951656,,294700056,294377067,292931363,151,151,37.1,477.5,78.2
21766_5#259,"Scaffold: Velvet + Improvement",6239271,35,178264.89,900393,477349,5,420362,6,408495,8,311178,9,211856,12,308,35,419,1872996,1871281,1715,1872996,,282822396,282563431,281407519,151,151,36.9,473.1,74.7
21766_5#260,"Scaffold: Velvet + Improvement",6237761,30,207925.37,1159559,620748,4,589781,5,439835,7,330394,8,307420,10,308,30,213,1824688,1823048,1640,1824688,,275527888,275280248,274084565,151,151,37.3,453.4,76.4
21766_5#261,"Scaffold: Velvet + Improvement",6236285,33,188978.33,1671658,417317,4,412079,5,311178,7,228805,10,157964,13,308,33,585,1912662,1910260,2402,1912662,,288811962,288449260,286944177,151,151,37.1,478.9,87.1
21766_5#262,"Scaffold: Velvet + Improvement",6237931,38,164156.08,899573,416340,5,379603,7,312417,9,275407,11,229749,13,314,38,1401,1462148,1460656,1492,1462148,,220784348,220559056,219488503,151,151,37.1,474.3,76.2
21766_5#263,"Scaffold: Velvet + Improvement",6238419,29,215117.90,1165866,412011,5,410918,6,330428,8,274671,10,161361,13,308,29,4,1878854,1876742,2112,1878854,,283706954,283388042,282068114,151,151,37.1,470.2,77.3
21766_5#264,"Scaffold: Velvet + Improvement",6240727,26,240027.96,1428592,558916,4,474950,5,380241,7,275424,9,228476,11,314,26,74,2011970,2010009,1961,2011970,,303807470,303511359,302077754,151,151,37.0,470.4,78.0
21766_5#265,"Scaffold: Velvet + Improvement",6237137,28,222754.89,1111157,558916,4,412065,6,400290,7,274980,10,161361,12,314,28,847,1860138,1858251,1887,1860138,,280880838,280595901,279228614,151,151,37.1,475.0,79.8
21766_5#266,"Scaffold: Velvet + Improvement",6238556,28,222805.57,1460500,808940,3,412360,4,330429,6,274239,8,215210,10,314,28,121,1780900,1778925,1975,1780900,,268915900,268617675,267272511,151,151,37.1,473.5,78.2
21766_5#267,"Scaffold: Velvet + Improvement",6237312,27,231011.56,1111957,417241,5,414114,6,395018,8,311179,9,228672,12,314,27,64,1929260,1927161,2099,1929260,,291318260,291001311,289593527,151,151,37.1,473.2,80.1
21766_5#268,"Scaffold: Velvet + Improvement",6237445,33,189013.48,1231149,558916,4,349228,6,274239,8,239533,10,157941,14,308,33,785,1549368,1547619,1749,1549368,,233954568,233690469,232535588,151,151,37.1,475.0,78.7
21766_5#269,"Scaffold: Velvet + Improvement",6237408,32,194919.00,821779,411730,6,394997,7,330776,9,275419,11,228609,13,305,32,189,1904584,1902660,1924,1904584,,287592184,287301660,285984484,151,151,37.3,457.0,82.6
21766_5#270,"Scaffold: Velvet + Improvement",6238824,27,231067.56,950045,619679,4,559028,5,395107,7,275407,9,239856,11,314,27,788,1642342,1640368,1974,1642342,,247993642,247695568,246532892,151,151,37.2,474.2,73.5
21766_5#271,"Scaffold: Velvet + Improvement",6235544,30,207851.47,1231511,411820,5,394997,6,312417,8,272606,10,159875,13,314,30,176,1810668,1808742,1926,1810668,,273410868,273120042,271749935,151,151,37.0,462.0,81.0
21766_5#272,"Scaffold: Velvet + Improvement",6235532,24,259813.83,1290483,558914,4,411765,5,394244,7,312417,9,256326,11,365,24,186,2035410,1969726,65684,1911276,58450,307346910,297428626,297255021,151,151,37.2,465.5,77.5
21766_5#273,"Scaffold: Velvet + Improvement",6237105,31,201196.94,901157,513860,5,356388,7,312361,9,225476,11,135766,15,314,31,1,1734748,1732905,1843,1734748,,261946948,261668655,260460404,151,151,37.1,476.9,77.0
21766_5#274,"Scaffold: Velvet + Improvement",6237604,27,231022.37,1587724,559037,4,411742,5,357900,7,275406,9,228671,11,314,27,527,1683090,1681431,1659,1683090,,254146590,253896081,252746659,151,151,37.2,464.8,80.9
21766_5#275,"Scaffold: Velvet + Improvement",6236963,29,215067.69,900055,394273,6,331857,7,275407,9,242321,12,211675,14,308,29,260,1717434,1715617,1817,1717434,,259332534,259058167,257815810,151,151,37.1,484.5,79.1
21766_5#276,"Scaffold: Velvet + Improvement",6238627,31,201246.03,901116,514943,5,414008,7,350008,8,228584,11,157975,14,314,31,8,1813294,1811443,1851,1813294,,273807394,273527893,272380472,151,151,37.3,464.8,80.1
21766_5#277,"Scaffold: Velvet + Improvement",6237247,30,207908.23,1122710,416153,5,410937,6,312372,8,275419,10,161450,13,302,30,889,1536768,1483657,53111,1436522,47135,232051968,224032207,223894337,151,151,37.1,449.7,83.4
21766_5#278,"Scaffold: Velvet + Improvement",6234819,28,222672.11,859583,572207,5,330428,7,274239,9,240265,11,161361,14,314,28,171,1726760,1725088,1672,1726760,,260740760,260488288,259295765,151,151,37.2,463.5,80.5
21766_5#279,"Scaffold: Velvet + Improvement",6236014,26,239846.69,1318331,558990,4,394214,6,312417,8,272674,10,228926,12,314,26,501,1925140,1872164,52976,1825044,47120,290696140,282696764,282541758,151,151,37.4,450.0,80.1
21766_5#280,"Scaffold: Velvet + Improvement",6237745,28,222776.61,1114711,580349,4,411753,6,395366,7,312504,9,229750,12,308,28,459,1653690,1651931,1759,1653690,,249707190,249441581,248466216,151,151,37.4,446.4,84.0
21766_5#281,"Scaffold: Velvet + Improvement",6237555,31,201211.45,1086905,580333,4,412011,6,394349,7,312417,9,228608,12,314,31,446,1715184,1713312,1872,1715184,,258992784,258710112,257516725,151,151,37.2,468.8,76.8
21766_5#282,"Scaffold: Velvet + Improvement",6239410,30,207980.33,1459769,607209,4,408781,5,394907,6,312417,8,181229,11,303,30,232,1882354,1826565,55789,1777160,49405,284235454,275811315,275655216,151,151,37.2,462.9,75.8
21766_5#283,"Scaffold: Velvet + Improvement",6238845,26,239955.58,1290195,671381,4,561661,5,466385,6,395751,8,298082,10,308,26,574,2044628,2042304,2324,2044628,,308738828,308387904,306985221,151,151,37.2,467.4,77.8
21766_5#284,"Scaffold: Velvet + Improvement",6237714,25,249508.56,997218,558916,4,417317,6,412005,7,312417,9,216465,11,308,25,3,1984108,1981812,2296,1984108,,299600308,299253612,297925240,151,151,37.3,461.9,78.8
21766_5#285,"Scaffold: Velvet + Improvement",6237767,35,178221.91,900034,411730,5,408635,6,330429,8,275407,10,211203,13,308,35,48,1946846,1887810,59036,1835112,52698,293973746,285059310,284896187,151,151,37.2,460.0,76.8
21766_5#286,"Scaffold: Velvet + Improvement",6236100,28,222717.86,1112473,516455,5,412360,6,330428,8,272759,10,157966,13,365,28,0,2355752,2353391,2361,2355752,,355718552,355362041,353754490,151,151,37.3,463.0,78.7
21766_5#287,"Scaffold: Velvet + Improvement",6241853,25,249674.12,1110966,651401,4,590279,5,414319,7,307447,9,182239,11,353,25,123,2378014,2302450,75564,2235158,67292,359080114,347669950,347470321,151,151,37.2,464.8,77.2
